,frame,color,hex
459,532,"(22, 21, 19)",#161513
511,533,"(22, 21, 19)",#161513
332,534,"(22, 21, 19)",#161513
388,535,"(22, 21, 19)",#161513
323,536,"(22, 21, 19)",#161513
269,537,"(22, 21, 19)",#161513
632,538,"(22, 21, 19)",#161513
687,539,"(22, 21, 19)",#161513
2,540,"(22, 21, 19)",#161513
62,541,"(22, 21, 19)",#161513
127,542,"(22, 21, 19)",#161513
71,543,"(22, 21, 19)",#161513
261,544,"(22, 21, 19)",#161513
202,545,"(22, 21, 19)",#161513
137,546,"(22, 21, 19)",#161513
191,547,"(22, 21, 19)",#161513
794,548,"(22, 21, 19)",#161513
749,549,"(22, 21, 19)",#161513
258,550,"(22, 21, 19)",#161513
203,551,"(22, 21, 19)",#161513
136,552,"(99, 110, 107)",#636e6b
194,553,"(101, 111, 109)",#656f6d
5,554,"(110, 118, 117)",#6e7675
61,555,"(111, 120, 118)",#6f7876
128,556,"(73, 84, 78)",#49544e
68,557,"(71, 82, 76)",#47524c
907,558,"(71, 82, 75)",#47524b
960,559,"(70, 81, 75)",#46514b
797,560,"(70, 81, 75)",#46514b
745,561,"(114, 124, 125)",#727c7d
803,562,"(114, 126, 128)",#727e80
849,563,"(111, 119, 117)",#6f7775
909,564,"(100, 111, 109)",#646f6d
959,565,"(69, 80, 75)",#45504b
901,566,"(97, 111, 109)",#616f6d
857,567,"(97, 111, 110)",#616f6e
6,568,"(97, 111, 111)",#616f6f
59,569,"(97, 111, 111)",#616f6f
910,570,"(97, 110, 110)",#616e6e
956,571,"(98, 111, 111)",#626f6f
904,572,"(98, 111, 110)",#626f6e
856,573,"(10, 10, 11)",#0a0a0b
796,574,"(11, 11, 13)",#0b0b0d
748,575,"(12, 12, 14)",#0c0c0e
800,576,"(13, 13, 15)",#0d0d0f
850,577,"(14, 14, 15)",#0e0e0f
262,578,"(14, 14, 15)",#0e0e0f
200,579,"(15, 14, 15)",#0f0e0f
67,580,"(15, 15, 15)",#0f0f0f
130,581,"(15, 15, 14)",#0f0f0e
