,frame,color,hex
542,357,"(31, 29, 32)",#1f1d20
2020,358,"(31, 28, 32)",#1f1c20
2026,359,"(31, 28, 32)",#1f1c20
2176,360,"(31, 28, 32)",#1f1c20
2163,361,"(31, 28, 32)",#1f1c20
2317,362,"(31, 28, 32)",#1f1c20
2324,363,"(31, 28, 32)",#1f1c20
2013,364,"(31, 28, 32)",#1f1c20
2034,365,"(31, 28, 32)",#1f1c20
1880,366,"(31, 28, 32)",#1f1c20
1867,367,"(31, 28, 32)",#1f1c20
385,368,"(31, 28, 32)",#1f1c20
404,369,"(31, 28, 32)",#1f1c20
2016,370,"(31, 28, 32)",#1f1c20
2027,371,"(31, 28, 32)",#1f1c20
1887,372,"(31, 28, 32)",#1f1c20
1866,373,"(31, 28, 32)",#1f1c20
2173,374,"(31, 28, 32)",#1f1c20
2170,375,"(30, 28, 32)",#1e1c20
2310,376,"(30, 29, 32)",#1e1d20
2325,377,"(237, 235, 231)",#edebe7
239,378,"(236, 234, 231)",#eceae7
230,379,"(236, 234, 230)",#eceae6
535,380,"(236, 233, 230)",#ece9e6
566,381,"(236, 234, 230)",#eceae6
409,382,"(236, 234, 230)",#eceae6
377,383,"(236, 233, 229)",#ece9e5
96,384,"(236, 234, 231)",#eceae7
57,385,"(237, 235, 231)",#edebe7
212,386,"(236, 234, 231)",#eceae7
255,387,"(236, 234, 230)",#eceae6
2336,388,"(235, 233, 229)",#ebe9e5
2300,389,"(69, 53, 53)",#453535
97,390,"(69, 54, 54)",#453636
56,391,"(69, 53, 53)",#453535
213,392,"(68, 53, 53)",#443535
253,393,"(66, 51, 51)",#423333
534,394,"(65, 50, 50)",#413232
567,395,"(64, 48, 49)",#403031
408,396,"(62, 47, 48)",#3e2f30
379,397,"(61, 46, 47)",#3d2e2f
1859,398,"(26, 23, 25)",#1a1719
1889,399,"(26, 23, 25)",#1a1719
1882,400,"(26, 23, 25)",#1a1719
1869,401,"(26, 23, 25)",#1a1719
2011,402,"(26, 23, 25)",#1a1719
2032,403,"(26, 23, 25)",#1a1719
2313,404,"(26, 23, 25)",#1a1719
2322,405,"(26, 23, 25)",#1a1719
2178,406,"(26, 23, 25)",#1a1719
2165,407,"(26, 23, 25)",#1a1719
72,408,"(26, 23, 25)",#1a1719
81,409,"(26, 23, 25)",#1a1719
2312,410,"(26, 23, 25)",#1a1719
2327,411,"(26, 23, 25)",#1a1719
2171,412,"(26, 23, 25)",#1a1719
2168,413,"(26, 23, 25)",#1a1719
1884,414,"(26, 23, 25)",#1a1719
1863,415,"(26, 22, 24)",#1a1618
2018,416,"(26, 22, 24)",#1a1618
2029,417,"(26, 23, 25)",#1a1719
562,418,"(26, 23, 25)",#1a1719
539,419,"(26, 23, 25)",#1a1719
70,420,"(26, 23, 25)",#1a1719
85,421,"(26, 22, 24)",#1a1618
244,422,"(26, 22, 24)",#1a1618
221,423,"(26, 22, 24)",#1a1618
551,424,"(26, 22, 25)",#1a1619
548,425,"(26, 22, 25)",#1a1619
389,426,"(123, 124, 133)",#7b7c85
400,427,"(123, 124, 133)",#7b7c85
1878,428,"(119, 121, 130)",#777982
1871,429,"(126, 126, 136)",#7e7e88
559,430,"(119, 121, 131)",#777983
544,431,"(119, 121, 131)",#777983
390,432,"(125, 126, 135)",#7d7e87
395,433,"(123, 123, 133)",#7b7b85
62,434,"(124, 124, 133)",#7c7c85
89,435,"(124, 124, 133)",#7c7c85
243,436,"(119, 120, 130)",#777882
226,437,"(119, 120, 130)",#777882
2308,438,"(125, 125, 134)",#7d7d86
2329,439,"(125, 125, 134)",#7d7d86
841,440,"(132, 132, 143)",#84848f
864,441,"(126, 126, 136)",#7e7e88
709,442,"(132, 132, 143)",#84848f
696,443,"(132, 132, 143)",#84848f
1003,444,"(132, 132, 143)",#84848f
988,445,"(119, 120, 130)",#777882
1142,446,"(133, 133, 144)",#858590
1147,447,"(133, 133, 144)",#858590
1436,448,"(105, 90, 90)",#695a5a
1435,449,"(104, 90, 90)",#685a5a
999,450,"(104, 90, 89)",#685a59
996,451,"(104, 90, 89)",#685a59
1137,452,"(84, 72, 72)",#544848
1148,453,"(84, 72, 72)",#544848
845,454,"(100, 86, 86)",#645656
856,455,"(100, 86, 86)",#645656
714,456,"(100, 86, 86)",#645656
695,457,"(100, 86, 86)",#645656
1569,458,"(100, 86, 86)",#645656
1594,459,"(100, 86, 86)",#645656
1447,460,"(100, 86, 86)",#645656
1426,461,"(100, 86, 86)",#645656
1284,462,"(100, 86, 86)",#645656
1295,463,"(82, 70, 71)",#524647
1575,464,"(100, 86, 86)",#645656
1586,465,"(83, 71, 71)",#534747
1730,466,"(83, 71, 71)",#534747
1727,467,"(83, 71, 71)",#534747
